date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:59:57	147555/147555	---M--	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://website/build/assets/libs/leaflet/leaflet.js	C:/My%20Web%20Sites/synto/website/build/assets/libs/leaflet/leaflet.js	(from https://website/leaflet-maps)
03:59:57	2442/2442	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202023%2016:01:20%20GMT	https://website/build/assets/mail-inbox-4c75552d.js	C:/My%20Web%20Sites/synto/website/build/assets/mail-inbox-4c75552d.js	(from https://website/mail-inbox)
03:59:57	565/565	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202023%2016:01:20%20GMT	https://website/build/assets/mail-settings-82c9b55a.js	C:/My%20Web%20Sites/synto/website/build/assets/mail-settings-82c9b55a.js	(from https://website/mail-settings)
03:59:58	5569/5569	---M--	200	added ('OK')	text/css	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://website/build/assets/libs/awesome-notifications/style.css	C:/My%20Web%20Sites/synto/website/build/assets/libs/awesome-notifications/style.css	(from https://website/notifications)
03:59:59	17314/17314	---M--	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://website/build/assets/libs/awesome-notifications/index.var.js	C:/My%20Web%20Sites/synto/website/build/assets/libs/awesome-notifications/index.var.js	(from https://website/notifications)
03:59:59	1488/1488	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202023%2016:01:20%20GMT	https://website/build/assets/notifications-84f1b2ca.js	C:/My%20Web%20Sites/synto/website/build/assets/notifications-84f1b2ca.js	(from https://website/notifications)
04:00:00	14464/14464	---M--	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://website/build/assets/libs/rater-js/index.js	C:/My%20Web%20Sites/synto/website/build/assets/libs/rater-js/index.js	(from https://website/order-details)
04:00:00	263/263	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202023%2016:01:20%20GMT	https://website/build/assets/order-details-bd31f5fe.js	C:/My%20Web%20Sites/synto/website/build/assets/order-details-bd31f5fe.js	(from https://website/order-details)
04:00:01	586/586	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202023%2016:01:20%20GMT	https://website/build/assets/product-list-49d86b5c.js	C:/My%20Web%20Sites/synto/website/build/assets/product-list-49d86b5c.js	(from https://website/product-list)
04:00:02	139463/139463	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://website/build/assets/img/ecommerce/products/19.png	C:/My%20Web%20Sites/synto/website/build/assets/img/ecommerce/products/19.png	(from https://website/product-list)
